ticker,cik_code,auditor,INTERNALCONTROL_EFFECTIVE,year_ended_date,financials_date,fiscal_year,signature_date,NUMBEROFCONTROLWEAKNESS,audit_fees,non_audit_fees,year,big4
NCMI,1377630,Deloitte & Touche LLP,Yes,2015-01-01,2015-01-01,2014,2015-02-27,0,843200,414620,2014,1
CROX,1334036,Deloitte & Touche LLP,Yes,2014-12-31,2014-12-31,2014,2015-03-02,0,2375453,717111,2014,1
CNTY,911147,Deloitte & Touche LLP,Yes,2014-12-31,2014-12-31,2014,2015-03-16,0,883043,0,2014,1
WWD,108312,Deloitte & Touche LLP,Yes,2015-09-30,2015-09-30,2015,2015-11-10,0,2484620,940616,2015,1
WLL,1255474,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-25,0,1110000,696245,2015,1
DCP,1338065,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-25,0,2000000,0,2015,1
NCMI,1377630,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-25,0,853000,171000,2015,1
CROX,1334036,Deloitte & Touche LLP,No,2015-12-31,2015-12-31,2015,2016-02-29,1,3322815,540517,2015,1
CNTY,911147,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-03-11,0,954062,0,2015,1
VEC,1601548,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-03-15,0,1462800,17750,2015,1
WWD,108312,Deloitte & Touche LLP,Yes,2016-09-30,2016-09-30,2016,2016-11-16,0,2438570,562176,2016,1
DCP,1338065,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-02-15,0,2000000,0,2016,1
WLL,1255474,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-02-23,0,919139,602956,2016,1
NCMI,1377630,Deloitte & Touche LLP,Yes,2016-12-29,2016-12-29,2016,2017-02-23,0,1139700,224600,2016,1
CROX,1334036,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-03-01,0,2830450,699225,2016,1
VEC,1601548,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-03-01,0,1308875,20785,2016,1
CNTY,911147,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-03-09,0,1011420,0,2016,1
WWD,108312,Deloitte & Touche LLP,Yes,2017-09-30,2017-09-30,2017,2017-11-10,0,2572105,652037,2017,1
WLL,1255474,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-22,0,997048,307517,2017,1
DCP,1338065,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-26,0,4000000,0,2017,1
CROX,1334036,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-28,0,2342000,943180,2017,1
VEC,1601548,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-03-01,0,1200800,116550,2017,1
CNTY,911147,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-03-08,0,1035015,225000,2017,1
NCMI,1377630,Deloitte & Touche LLP,No,2017-12-28,2017-12-28,2017,2018-03-16,1,1093615,30000,2017,1
WWD,108312,Deloitte & Touche LLP,Yes,2018-09-30,2018-09-30,2018,2018-11-09,0,2664090,1525827,2018,1
NCMI,1377630,Deloitte & Touche LLP,Yes,2018-12-27,2018-12-27,2018,2019-02-21,0,1136146,90000,2018,1
DCP,1338065,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-02-25,0,3000000,1000000,2018,1
VEC,1601548,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-02-26,0,745000,20000,2018,1
WLL,1255474,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-02-27,0,1071768,215786,2018,1
CROX,1334036,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-02-28,0,2229765,592200,2018,1
CNTY,911147,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-03-08,0,1163263,0,2018,1
SMPL,1702744,Deloitte & Touche LLP,Yes,2019-08-31,2019-08-31,2019,2019-10-30,0,1014230,818187,2019,1
WWD,108312,Deloitte & Touche LLP,Yes,2019-09-30,2019-09-30,2019,2019-11-25,0,3416770,1040820,2019,1
NCMI,1377630,Deloitte & Touche LLP,Yes,2019-12-26,2019-12-26,2019,2020-02-20,0,1040095,0,2019,1
DCP,1338065,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-21,0,3000000,1000000,2019,1
GTES,1718512,Deloitte & Touche LLP,Yes,2019-12-28,2019-12-28,2019,2020-02-21,0,4400000,700000,2019,1
LBRT,1694028,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-26,0,2198060,415867,2019,1
CROX,1334036,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-27,0,2003010,696935,2019,1
BCEI,1509589,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-27,0,689572,90300,2019,1
WLL,1255474,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-27,0,986651,204959,2019,1
VEC,1601548,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-03-03,0,1073933,71895,2019,1
CNTY,911147,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-03-12,0,1550309,20000,2019,1
SMPL,1702744,Deloitte & Touche LLP,Yes,2020-08-29,2020-08-29,2020,2020-10-28,0,1120020,921075,2020,1
WWD,108312,Deloitte & Touche LLP,Yes,2020-09-30,2020-09-30,2020,2020-11-20,0,3862520,788418,2020,1
GTES,1718512,Deloitte & Touche LLP,Yes,2021-01-02,2021-01-02,2020,2021-02-10,0,4900000,300000,2020,1
CROX,1334036,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-23,0,1987800,1068300,2020,1
BCEI,1509589,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-17,0,720748,637523,2020,1
DCP,1338065,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-19,0,3000000,1000000,2020,1
LBRT,1694028,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-24,0,2144560,550419,2020,1
WLL,1255474,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-24,0,2588767,50645,2020,1
VEC,1601548,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-02,0,1264222,41895,2020,1
NCMI,1377630,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-08,0,996908,0,2020,1
SMPL,1702744,Deloitte & Touche LLP,No,2020-08-29,2020-08-29,2020,2020-10-28,1,1120020,921075,2020,1
DHX,1393883,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-31,2008,2009-02-18,0,581683,158626,2008,1
DHX,1393883,Deloitte & Touche LLP,Yes,2009-12-31,2009-12-31,2009,2010-02-10,0,495395,100207,2009,1
DHX,1393883,Deloitte & Touche LLP,Yes,2010-12-31,2010-12-31,2010,2011-02-07,0,444456,209810,2010,1
DHX,1393883,Deloitte & Touche LLP,Yes,2011-12-31,2011-12-31,2011,2012-02-03,0,443470,147465,2011,1
DHX,1393883,Deloitte & Touche LLP,Yes,2012-12-31,2012-12-31,2012,2013-02-01,0,494887,31185,2012,1
DHX,1393883,Deloitte & Touche LLP,Yes,2013-12-31,2013-12-31,2013,2014-02-14,0,425000,17800,2013,1
REGI,1463258,Deloitte & Touche LLP,Yes,2013-12-31,2013-12-31,2013,2014-02-28,0,960000,666235,2013,1
DHX,1393883,Deloitte & Touche LLP,Yes,2014-12-31,2014-12-31,2014,2015-02-09,0,495058,0,2014,1
REGI,1463258,Deloitte & Touche LLP,Yes,2014-12-31,2014-12-31,2014,2015-03-06,0,946000,895238,2014,1
DHX,1393883,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-09,0,505000,65000,2015,1
REGI,1463258,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-03-14,0,1549500,356013,2015,1
DHX,1393883,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-02-09,0,530000,10000,2016,1
REGI,1463258,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-03-10,0,1634455,450749,2016,1
DHX,1393883,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-12,0,591500,0,2017,1
REGI,1463258,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-03-09,0,1586744,323523,2017,1
DHX,1393883,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-02-07,0,550000,0,2018,1
REGI,1463258,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-03-07,0,1575058,299001,2018,1
DHX,1393883,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-06,0,587200,0,2019,1
REGI,1463258,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-03-06,0,1516032,306017,2019,1
DHX,1393883,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-10,0,602500,0,2020,1
REGI,1463258,Deloitte & Touche LLP,No,2019-12-31,2019-12-31,2019,2020-03-06,1,1516032,306017,2019,1
REGI,1463258,Deloitte & Touche LLP,No,2020-12-31,2020-12-31,2020,2021-03-01,1,1679028,422002,2020,1
AXL,1062231,Deloitte & Touche LLP,Yes,2004-12-31,2004-12-31,2004,2005-02-01,0,1222000,947000,2004,1
BWA,908255,Deloitte & Touche LLP,Yes,2004-12-31,2004-12-31,2004,2005-03-07,0,3532000,458000,2004,1
DTB,936340,Deloitte & Touche LLP,Yes,2004-12-31,2004-12-31,2004,2005-03-15,0,6731890,2289815,2004,1
ALLY,40729,Deloitte & Touche LLP,Yes,2004-12-31,2004-12-31,2004,2005-03-14,0,27000000,7000000,2004,1
RPT,842183,Deloitte & Touche LLP,No,2004-12-31,2004-12-31,2004,2005-03-25,1,857118,549715,2004,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2005-09-30,2005-09-30,2005,2005-11-15,0,8643000,4329000,2005,1
BWA,908255,Deloitte & Touche LLP,Yes,2005-12-31,2005-12-31,2005,2006-02-17,0,3672300,514500,2005,1
AXL,1062231,Deloitte & Touche LLP,Yes,2005-12-31,2005-12-31,2005,2006-02-03,0,1066000,783000,2005,1
DTB,936340,Deloitte & Touche LLP,Yes,2005-12-31,2005-12-31,2005,2006-03-07,0,8494260,1174187,2005,1
ALLY,40729,Deloitte & Touche LLP,No,2005-12-31,2005-12-31,2005,2006-03-28,1,29000000,5000000,2005,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2006-09-30,2006-09-30,2006,2006-11-17,0,8800000,2934000,2006,1
BWA,908255,Deloitte & Touche LLP,Yes,2006-12-31,2006-12-31,2006,2007-02-16,0,4236600,695600,2006,1
AXL,1062231,Deloitte & Touche LLP,Yes,2006-12-31,2006-12-31,2006,2007-02-17,0,1261000,670000,2006,1
PAG,1019849,Deloitte & Touche LLP,Yes,2006-12-31,2006-12-31,2006,2007-02-28,0,1910500,708000,2006,1
DTB,936340,Deloitte & Touche LLP,Yes,2006-12-31,2006-12-31,2006,2007-03-01,0,7669070,462012,2006,1
ALLY,40729,Deloitte & Touche LLP,No,2006-12-31,2006-12-31,2006,2007-03-12,1,30000000,6000000,2006,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2007-09-30,2007-09-30,2007,2007-11-16,0,7341000,2343000,2007,1
BWA,908255,Deloitte & Touche LLP,Yes,2007-12-31,2007-12-31,2007,2008-02-14,0,4268900,615700,2007,1
PAG,1019849,Deloitte & Touche LLP,Yes,2007-12-31,2007-12-31,2007,2008-02-25,0,1742000,755500,2007,1
ALLY,40729,Deloitte & Touche LLP,Yes,2007-12-31,2007-12-31,2007,2008-02-27,0,30000000,8000000,2007,1
DTB,936340,Deloitte & Touche LLP,Yes,2007-12-31,2007-12-31,2007,2008-03-07,0,10429200,981391,2007,1
AXL,1062231,Deloitte & Touche LLP,Yes,2007-12-31,2007-12-31,2007,2008-02-20,0,1427000,641000,2007,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2008-09-30,2008-09-28,2008,2008-11-20,0,7818000,7221000,2008,1
BWA,908255,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-31,2008,2009-02-12,0,4145890,609036,2008,1
ALLY,40729,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-31,2008,2009-02-26,0,28000000,11000000,2008,1
DTB,936340,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-31,2008,2009-02-27,0,6957840,1364550,2008,1
INFU,1337013,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-31,2008,2009-02-27,0,553000,22463,2008,1
PAG,1019849,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-31,2008,2009-03-10,0,1813000,792500,2008,1
AXL,1062231,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-31,2008,2009-03-12,0,1507000,465000,2008,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2009-09-27,2009-09-30,2009,2009-11-18,0,6494000,3299000,2009,1
AXL,1062231,Deloitte & Touche LLP,Yes,2009-12-31,2009-12-31,2009,2010-02-22,0,1353000,32000,2009,1
PAG,1019849,Deloitte & Touche LLP,Yes,2009-12-31,2009-12-31,2009,2010-02-24,0,1647600,580555,2009,1
ALLY,40729,Deloitte & Touche LLP,Yes,2009-12-31,2009-12-31,2009,2010-02-26,0,19000000,7000000,2009,1
INFU,1337013,Deloitte & Touche LLP,Yes,2009-12-31,2009-12-31,2009,2010-03-03,0,455340,0,2009,1
GM,1467858,Deloitte & Touche LLP,No,2009-12-31,2009-12-31,2009,2010-04-07,1,52000000,19000000,2009,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2010-10-03,2010-09-30,2010,2010-11-24,0,6158000,2262000,2010,1
AXL,1062231,Deloitte & Touche LLP,Yes,2010-12-31,2010-12-31,2010,2011-02-09,0,1353000,32000,2010,1
ALLY,40729,Deloitte & Touche LLP,Yes,2010-12-31,2010-12-31,2010,2011-02-25,0,20000000,7000000,2010,1
PAG,1019849,Deloitte & Touche LLP,Yes,2010-12-31,2010-12-31,2010,2011-02-25,0,1789000,619110,2010,1
GM,1467858,Deloitte & Touche LLP,Yes,2010-12-31,2010-12-31,2010,2011-03-01,0,41000000,14000000,2010,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2011-10-02,2011-09-30,2011,2011-11-23,0,5110000,1439000,2011,1
AXL,1062231,Deloitte & Touche LLP,Yes,2011-12-31,2011-12-31,2011,2012-02-08,0,1181000,238000,2011,1
PAG,1019849,Deloitte & Touche LLP,Yes,2011-12-31,2011-12-31,2011,2012-02-24,0,1738400,643010,2011,1
ALLY,40729,Deloitte & Touche LLP,Yes,2011-12-31,2011-12-31,2011,2012-02-28,0,20000000,7000000,2011,1
GM,1467858,Deloitte & Touche LLP,Yes,2011-12-31,2011-12-31,2011,2012-02-27,0,38000000,11000000,2011,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2012-09-30,2012-09-30,2012,2012-11-21,0,4931000,1093000,2012,1
AXL,1062231,Deloitte & Touche LLP,Yes,2012-12-31,2012-12-31,2012,2013-02-08,0,1357550,80539,2012,1
GM,1467858,Deloitte & Touche LLP,Yes,2012-12-31,2012-12-31,2012,2013-02-15,0,36000000,11000000,2012,1
PAG,1019849,Deloitte & Touche LLP,Yes,2012-12-31,2012-12-31,2012,2013-02-28,0,2007800,566882,2012,1
ALLY,40729,Deloitte & Touche LLP,Yes,2012-12-31,2012-12-31,2012,2013-03-01,0,20000000,5000000,2012,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2013-09-30,2013-09-30,2013,2013-11-20,0,5120000,1218000,2013,1
AXL,1062231,Deloitte & Touche LLP,Yes,2013-12-31,2013-12-31,2013,2014-02-07,0,1615877,241000,2013,1
GM,1467858,Deloitte & Touche LLP,Yes,2013-12-31,2013-12-31,2013,2014-02-06,0,38000000,16000000,2013,1
TRS,842633,Deloitte & Touche LLP,Yes,2013-12-31,2013-12-31,2013,2014-02-20,0,1473800,265200,2013,1
PAG,1019849,Deloitte & Touche LLP,Yes,2013-12-31,2013-12-31,2013,2014-03-03,0,2229400,647850,2013,1
ALLY,40729,Deloitte & Touche LLP,Yes,2013-12-31,2013-12-31,2013,2014-03-03,0,14000000,6000000,2013,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2014-09-28,2014-09-30,2014,2014-11-19,0,5096000,799000,2014,1
GM,1467858,Deloitte & Touche LLP,Yes,2014-12-31,2014-12-31,2014,2015-02-04,0,36000000,15000000,2014,1
AXL,1062231,Deloitte & Touche LLP,No,2014-12-31,2014-12-31,2014,2015-02-23,1,1753564,835453,2014,1
TRS,842633,Deloitte & Touche LLP,Yes,2014-12-31,2014-12-31,2014,2015-02-25,0,1230000,20000,2014,1
PAG,1019849,Deloitte & Touche LLP,Yes,2014-12-31,2014-12-31,2014,2015-02-26,0,2573765,886252,2014,1
ALLY,40729,Deloitte & Touche LLP,Yes,2014-12-31,2014-12-31,2014,2015-02-27,0,10000000,3000000,2014,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2015-09-27,2015-09-30,2015,2015-11-18,0,4735000,647000,2015,1
GM,1467858,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-03,0,32000000,13000000,2015,1
AXL,1062231,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-12,0,2110826,695295,2015,1
ALLY,40729,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-24,0,9000000,4000000,2015,1
PAG,1019849,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-25,0,2655345,1044702,2015,1
TRS,842633,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-26,0,1260000,707000,2015,1
SUP,95552,Deloitte & Touche LLP,Yes,2015-12-27,2015-12-31,2015,2016-03-11,0,1251000,886150,2015,1
MTOR,1113256,Deloitte & Touche LLP,No,2016-10-02,2016-09-30,2016,2016-12-01,1,4856000,700000,2016,1
GM,1467858,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-02-07,0,33000000,17000000,2016,1
AXL,1062231,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-02-10,0,1969240,656192,2016,1
PAG,1019849,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-02-24,0,2706533,756293,2016,1
ALLY,40729,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-02-27,0,8000000,4000000,2016,1
TRS,842633,Deloitte & Touche LLP,Yes,2016-12-31,2016-12-31,2016,2017-02-28,0,1100000,330000,2016,1
SUP,95552,Deloitte & Touche LLP,Yes,2016-12-25,2016-12-31,2016,2017-03-03,0,1197000,1510500,2016,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2017-10-01,2017-09-30,2017,2017-11-16,0,5204000,951000,2017,1
GM,1467858,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-06,0,26000000,17000000,2017,1
AXL,1062231,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-16,0,5014534,1082532,2017,1
ALLY,40729,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-21,0,8000000,4000000,2017,1
PAG,1019849,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-22,0,3028399,665818,2017,1
TRS,842633,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-27,0,1030000,670000,2017,1
SUP,95552,Deloitte & Touche LLP,Yes,2017-12-31,2017-12-31,2017,2018-03-15,0,1810000,1010000,2017,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2018-09-30,2018-09-30,2018,2018-11-15,0,5024000,488000,2018,1
AXL,1062231,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-02-15,0,6118093,1001414,2018,1
ALLY,40729,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-02-20,0,8000000,4000000,2018,1
PAG,1019849,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-02-22,0,3002019,452306,2018,1
TRS,842633,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-02-28,0,1090000,530000,2018,1
SUP,95552,Deloitte & Touche LLP,Yes,2018-12-31,2018-12-31,2018,2019-03-07,0,2775000,790000,2018,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2019-09-29,2019-09-30,2019,2019-11-13,0,4706000,381000,2019,1
AXL,1062231,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-14,0,4838194,528750,2019,1
PAG,1019849,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-21,0,3218042,595526,2019,1
ALLY,40729,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-25,0,7000000,4000000,2019,1
TRS,842633,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-27,0,1090000,660000,2019,1
SUP,95552,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-28,0,2560000,770000,2019,1
MTOR,1113256,Deloitte & Touche LLP,Yes,2020-09-27,2020-09-30,2020,2020-11-12,0,4648500,678300,2020,1
AXL,1062231,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-12,0,4548252,647175,2020,1
PAG,1019849,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-19,0,3362744,412260,2020,1
ALLY,40729,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-24,0,7000000,4000000,2020,1
TRS,842633,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-25,0,990000,480000,2020,1
SUP,95552,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-05,0,2510000,770000,2020,1
CRH,849395,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-03-03,0,20552444,0,2020,1
NWG,844150,Deloitte & Touche LLP,Yes,2006-12-31,2006-12-31,2006,2007-02-28,0,31145900,10689100,2006,1
NWG,844150,Deloitte & Touche LLP,Yes,2007-12-31,2007-12-31,2007,2008-02-27,0,40836968,21619570,2007,1
NWG,844150,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-31,2008,2009-02-25,0,81864552,27102550,2008,1
NWG,844150,Deloitte & Touche LLP,Yes,2009-12-31,2009-12-31,2009,2010-02-24,0,69960352,13960698,2009,1
ASML,937966,Deloitte & Touche LLP,Yes,2006-12-31,2006-12-31,2006,2007-01-26,0,1806450,605500,2006,1
ASML,937966,Deloitte & Touche LLP,Yes,2007-12-31,2007-12-31,2007,2008-01-25,0,1777854,582566,2007,1
ASML,937966,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-31,2008,2009-01-23,0,2026136,865191,2008,1
ASML,937966,Deloitte & Touche LLP,Yes,2009-12-31,2009-12-31,2009,2010-01-29,0,1684535,1128681,2009,1
ASML,937966,Deloitte & Touche LLP,Yes,2010-12-31,2010-12-31,2010,2011-02-14,0,1970556,893655,2010,1
ASML,937966,Deloitte & Touche LLP,Yes,2011-12-31,2011-12-31,2011,2012-02-13,0,2008574,516053,2011,1
ASML,937966,Deloitte & Touche LLP,Yes,2012-12-31,2012-12-31,2012,2013-02-12,0,1741346,963270,2012,1
ASML,937966,Deloitte & Touche LLP,Yes,2013-12-31,2013-12-31,2013,2014-02-11,0,2554234,620295,2013,1
ASML,937966,Deloitte & Touche LLP,Yes,2014-12-31,2014-12-31,2014,2015-02-10,0,2351744,251228,2014,1
ASML,937966,Deloitte & Touche LLP,Yes,2015-12-31,2015-12-31,2015,2016-02-04,0,1632888,249966,2015,1
SCVL,895447,Deloitte & Touche LLP,Yes,2010-01-30,2010-01-30,2010,2010-04-15,0,425100,16530,2010,1
ODP,800240,Deloitte & Touche LLP,Yes,2004-12-25,2004-12-25,2004,2005-03-07,0,4223810,597760,2004,1
DY,67215,Deloitte & Touche LLP,Yes,2005-07-30,2005-07-30,2005,2005-09-08,0,2570600,107423,2005,1
HEI,46619,Deloitte & Touche LLP,Yes,2005-10-31,2005-10-31,2005,2006-01-17,0,1368000,231000,2005,1
ODP,800240,Deloitte & Touche LLP,Yes,2005-12-31,2005-12-31,2005,2006-02-13,0,5649660,892365,2005,1
DY,67215,Deloitte & Touche LLP,Yes,2006-07-29,2006-07-29,2006,2006-09-07,0,2491400,93617,2006,1
ODP,800240,Deloitte & Touche LLP,Yes,2006-12-30,2006-12-30,2006,2007-02-12,0,5947470,97356,2006,1
DY,67215,Deloitte & Touche LLP,Yes,2007-07-28,2007-07-28,2007,2007-09-04,0,2212286,52200,2007,1
ODP,800240,Deloitte & Touche LLP,No,2006-12-30,2006-12-30,2006,2007-11-15,1,5947470,97356,2006,1
ODP,800240,Deloitte & Touche LLP,Yes,2007-12-29,2007-12-29,2007,2008-02-25,0,5411900,1807263,2007,1
*,1389030,Deloitte & Touche LLP,Yes,2008-12-31,2008-12-28,2008,2009-03-02,0,364500,0,2008,1
*,1389030,Deloitte & Touche LLP,Yes,2009-12-31,2009-12-28,2009,2010-03-15,0,353766,172836,2009,1
*,1389030,Deloitte & Touche LLP,Yes,2010-12-31,2010-12-28,2010,2011-02-25,0,272467,0,2010,1
GTX,1735707,Deloitte & Touche LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-27,0,3706000,83000,2019,1
GTX,1735707,Deloitte & Touche LLP,Yes,2020-12-31,2020-12-31,2020,2021-02-16,0,3978000,16500,2020,1
SPTN,877422,Deloitte & Touche LLP,Yes,2005-03-26,2005-03-26,2005,2005-05-03,0,602776,680243,2005,1
SPTN,877422,Deloitte & Touche LLP,Yes,2006-03-25,2006-03-25,2006,2006-05-05,0,599291,535288,2006,1
SPTN,877422,Deloitte & Touche LLP,Yes,2007-03-31,2007-03-31,2007,2007-05-11,0,619037,385262,2007,1
SPTN,877422,Deloitte & Touche LLP,Yes,2008-03-29,2008-03-29,2008,2008-05-09,0,625035,740680,2008,1
SPTN,877422,Deloitte & Touche LLP,Yes,2009-03-28,2009-03-28,2009,2009-06-05,0,644870,557662,2009,1
SCS,1050825,Deloitte & Touche LLP,Yes,2010-02-26,2010-02-26,2010,2010-04-26,0,1878000,552000,2010,1
SPTN,877422,Deloitte & Touche LLP,Yes,2010-03-27,2010-03-27,2010,2010-05-13,0,597563,369658,2010,1
SCS,1050825,Deloitte & Touche LLP,Yes,2011-02-25,2011-02-25,2011,2011-04-25,0,1781000,661000,2011,1
SPTN,877422,Deloitte & Touche LLP,Yes,2011-03-26,2011-03-26,2011,2011-05-13,0,548413,258271,2011,1
SCS,1050825,Deloitte & Touche LLP,Yes,2012-02-24,2012-02-24,2012,2012-04-23,0,1807000,586000,2012,1
SPTN,877422,Deloitte & Touche LLP,Yes,2012-03-31,2012-03-31,2012,2012-05-22,0,548735,275153,2012,1
SCS,1050825,Deloitte & Touche LLP,Yes,2013-02-22,2013-02-22,2013,2013-04-19,0,2150000,724000,2013,1
SPTN,877422,Deloitte & Touche LLP,Yes,2013-03-30,2013-03-30,2013,2013-05-23,0,591664,792214,2013,1
SPTN,877422,Deloitte & Touche LLP,Yes,2013-12-28,2013-12-28,2013,2014-03-12,0,591664,792214,2013,1
SCS,1050825,Deloitte & Touche LLP,Yes,2014-02-28,2014-02-28,2014,2014-04-17,0,1997000,691000,2014,1
