companyname,stateincorp,ticker,year,sic,totalassets,costofgoodssold,netincome,sale,advertising,sellingadmin,mktvalue,commonequity,totalliability
ALTRIA GROUP INC,VA,MO,2011,2111,36962,7440,3390,17109,5,2626,60617.0234,3680,33247
ALTRIA GROUP INC,VA,MO,2012,2111,35329,7723,4180,17507,6,2243,63186.2256,3168,32125
ALTRIA GROUP INC,VA,MO,2013,2111,34859,7014,4535,17663,7,2341,76529.6588,4119,30706
ALTRIA GROUP INC,VA,MO,2014,2111,34475,7597,5070,17945,30,2521,97134.524,3014,31430
ALTRIA GROUP INC,VA,MO,2015,2111,32535,7536,5241,18854,25,2728,114095.0344,2880,29625
ALTRIA GROUP INC,VA,MO,2016,2111,45932,7546,14239,19337,27,2622,131404.0526,12770,33121
ALTRIA GROUP INC,VA,MO,2017,2111,43202,7271,10222,19494,29,2299,135768.9052,15377,27784
PVH CORP,DE,PVH,2008,2300,2172.394,1192.317,183.319,2425.175,152.528,882.492,2158.5436,956.283,1216.111
PVH CORP,DE,PVH,2009,2300,2200.184,1233.261,91.771,2491.935,155.077,996.569,979.2827,998.795,1201.389
PVH CORP,DE,PVH,2010,2300,2339.679,1169.94,161.91,2398.731,161.874,914.535,2039.2296,1168.553,1171.126
PVH CORP,DE,PVH,2011,2300,6735.334,2070.509,53.805,4636.848,303.575,1920.773,3914.6424,2253.962,4292.777
PVH CORP,DE,PVH,2012,2300,6752.361,2700.46,317.881,5890.624,370.153,2390.648,5252.6251,2526.854,4036.912
PVH CORP,DE,PVH,2013,2300,7781.549,2658.443,433.84,6042.999,350.615,2531.211,8666.9306,3252.569,4528.98
PVH CORP,DE,PVH,2014,2300,11575.578,3608.346,143.537,8221.463,392.472,3379.165,9931.5253,4335.179,7234.799
PVH CORP,DE,PVH,2015,2300,10931.8,3669.1,439,8241.2,384.6,3563.3,9097.8834,4364.3,6567.5
PVH CORP,DE,PVH,2016,2300,10696.4,3627.1,572.4,8020.3,376.6,3298,5979.5894,4552.3,6144.1
PVH CORP,DE,PVH,2017,2300,11067.9,3518.2,549,8203.1,416.3,3627.4,7368.9631,4804.5,6261.4
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2008,5700,821.904,1072.28,-96.011,1511.832,55.122,480.252,464.3007,267.744,554.16
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2009,5700,655.462,957.213,-129.253,1320.677,49.506,445.889,18.8735,144.261,511.201
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2010,5700,642.974,850.438,86.847,1290.852,51.625,419.85,706.2366,303.134,339.84
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2011,5700,743.577,841.083,100.125,1396.47,55.723,431.9,1184.2387,412.852,330.725
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2012,5700,823.363,882.449,168.938,1533.611,62.405,475.162,1883.8924,493.643,329.72
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2013,5700,857.215,961.826,129.444,1704.885,71.214,513.085,2389.1452,537.131,320.084
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2014,5700,803.623,1026.18,107.531,1771.743,76.071,531.19,1867.6878,449.432,354.191
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2015,5700,910.204,1116.076,75.162,1865.782,81.483,576.131,1084.3387,337.267,572.937
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2016,5700,819.191,1187.25,39.634,1892.23,66.289,578.828,412.3517,284.757,534.434
PIER 1 IMPORTS INC/DE,DE,PIRRQ,2017,5700,843.082,1131.138,30.129,1828.446,101.78,575.071,559.8149,292.028,551.054
PLANTRONICS INC,DE,POLY,2008,3661,741.393,478.45,68.395,856.286,9.9,266.138,945.1086,578.62,162.773
PLANTRONICS INC,DE,POLY,2009,3661,633.12,443.791,-64.899,765.619,6.9,247.662,590.1264,525.367,107.753
PLANTRONICS INC,DE,POLY,2010,3661,655.351,289.418,57.378,613.837,4.6,201.568,1528.6536,571.334,84.017
PLANTRONICS INC,DE,POLY,2011,3661,744.647,304.171,109.243,683.602,2.4,226.572,1769.2953,634.852,109.795
PLANTRONICS INC,DE,POLY,2012,3661,672.47,315.257,109.036,713.368,2.6,242.998,1711.5331,527.244,145.226
PLANTRONICS INC,DE,POLY,2013,3661,764.605,343.01,106.402,762.226,3.6,262.818,1912.6758,646.447,118.158
PLANTRONICS INC,DE,POLY,2014,3661,811.815,375.025,112.417,818.607,4,285.891,1895.7481,698.664,113.151
PLANTRONICS INC,DE,POLY,2015,3661,876.042,384.68,112.301,865.01,3.7,321.196,2202.773,727.397,148.645
PLANTRONICS INC,DE,POLY,2016,3661,933.437,402.091,68.392,856.907,2,311.707,1305.7716,312.399,621.038
PLANTRONICS INC,DE,POLY,2017,3661,1017.159,418.829,82.599,881.176,1.8,309.389,1808.1398,382.156,635.003
PROCTER & GAMBLE CO,OH,PG,2008,2840,143992,37529,12075,83503,8667,25725,184418.487,69453,74498
PROCTER & GAMBLE CO,OH,PG,2009,2840,134833,35816,13436,79029,7579,24008,149058.7,63115,71734
PROCTER & GAMBLE CO,OH,PG,2010,2840,128172,34811,12736,78938,8576,24998,170553.13,61188,66733
PROCTER & GAMBLE CO,OH,PG,2011,2840,138354,37930,11797,82559,9315,25973,175815.549,67763,70353
PROCTER & GAMBLE CO,OH,PG,2012,2840,132244,38881,10756,83680,9345,25675,168315,63601,68209
PROCTER & GAMBLE CO,OH,PG,2013,2840,139263,39090,11312,84167,9729,26066,211131.7557,68279,70554
PROCTER & GAMBLE CO,OH,PG,2014,2840,144266,38940,11643,83062,9236,24689,213042.2435,69443,74290
PROCTER & GAMBLE CO,OH,PG,2015,2840,129495,35128,7036,76279,8290,23247,212388.035,62662,66445
PROCTER & GAMBLE CO,OH,PG,2016,2840,127136,29113,10508,65299,7243,18747,225905.8256,57593,69153
PROCTER & GAMBLE CO,OH,PG,2017,2840,120406,29122,15326,65058,7118,18431,222519.8336,55427,64628
PULTEGROUP INC,MI,PHM,2008,1531,7708.458,7037.1,-1473.113,6263.054,77.8,748.573,2821.7872,2835.698,4872.76
PULTEGROUP INC,MI,PHM,2009,1531,10051.222,4630.475,-1182.567,4084.389,47.1,589.021,3806.9,3194.44,6856.782
PULTEGROUP INC,MI,PHM,2010,1531,7699.376,4137.945,-1096.729,4569.29,54.9,872.745,2872.8506,2135.167,5564.209
PULTEGROUP INC,MI,PHM,2011,1531,6885.62,3629.417,-210.388,4136.69,55.1,508.53,2414.2565,1938.615,4947.005
PULTEGROUP INC,MI,PHM,2012,1531,6734.409,4048.193,206.145,4819.998,45.8,510.476,7020.8013,2189.616,4544.793
PULTEGROUP INC,MI,PHM,2013,1531,8734.143,4491.968,2620.116,5679.595,42.4,553.5,7767.081,4648.952,4085.191
PULTEGROUP INC,MI,PHM,2014,1531,8569.41,4417.504,474.338,5822.363,41.8,590.948,7928.5901,4804.954,3764.456
PULTEGROUP INC,MI,PHM,2015,1531,8967.16,4530.497,494.09,5981.964,45.3,620.373,6221.8174,4759.325,4207.835
PULTEGROUP INC,MI,PHM,2016,1531,10178.2,5705.612,602.703,7668.476,50.7,943.761,5864.8742,4659.363,5518.837
PULTEGROUP INC,MI,PHM,2017,1531,9686.649,6689.059,447.221,8573.25,45,881.794,9534.504,4154.026,5532.623
NEXTGEN HEALTHCARE INC,CA,NXGN,2008,7372,187.908,55.983,40.078,186.5,2.58,64.412,819.8718,113.705,74.203
NEXTGEN HEALTHCARE INC,CA,NXGN,2009,7372,242.101,79.782,46.119,245.515,3.459,84.222,1287.2268,155.567,86.534
NEXTGEN HEALTHCARE INC,CA,NXGN,2010,7372,310.18,101.217,48.379,291.811,6.198,103.497,1774.3258,188.289,121.891
NEXTGEN HEALTHCARE INC,CA,NXGN,2011,7372,378.686,114.514,61.606,353.363,7.122,129.307,2419.6936,224.67,154.016
NEXTGEN HEALTHCARE INC,CA,NXGN,2012,7372,440.352,135.471,75.657,429.835,6.254,160.215,2587.9414,295.177,145.175
NEXTGEN HEALTHCARE INC,CA,NXGN,2013,7372,443.055,170.356,42.724,460.229,6.499,175.938,1087.8506,307.049,136.006
NEXTGEN HEALTHCARE INC,CA,NXGN,2014,7372,445.058,176.133,15.68,444.667,5.6,187.569,1016.2773,295.09,149.968
NEXTGEN HEALTHCARE INC,CA,NXGN,2015,7372,460.521,197.59,27.332,490.225,7.079,224.489,963.6419,283.54,176.981
NEXTGEN HEALTHCARE INC,CA,NXGN,2016,7372,530.79,201.243,5.657,492.477,7.89,209.984,929.3047,269.377,261.413
NEXTGEN HEALTHCARE INC,CA,NXGN,2017,7372,473.221,193.135,18.241,509.624,7.111,235.441,951.8142,305.043,168.178
QUANTUM CORP,DE,QMCO,2008,3572,1065.725,597.789,-60.234,975.702,4.1,299.719,442.8238,228.004,837.721
QUANTUM CORP,DE,QMCO,2009,3572,549.369,464.538,-358.264,797.972,3.2,272.897,140.8548,-119.959,669.328
QUANTUM CORP,DE,QMCO,2010,3572,504.143,367.223,16.634,681.427,3.9,231.858,565.308,-91.257,595.4
QUANTUM CORP,DE,QMCO,2011,3572,430.965,348.648,4.541,672.27,5,255.236,572.8237,-61.111,492.076
QUANTUM CORP,DE,QMCO,2012,3572,395.348,359.478,-8.809,652.37,4.3,254.728,619.3732,-46.68,442.028
QUANTUM CORP,DE,QMCO,2013,3572,371.14,330.733,-52.419,587.572,8.2,263.656,311.1424,-81.582,452.722
QUANTUM CORP,DE,QMCO,2014,3572,361.798,300.817,-21.474,553.165,8.4,233.585,305.5002,-87.4,449.198
QUANTUM CORP,DE,QMCO,2015,3572,358.755,299.089,16.76,553.095,7.6,225.325,413.1328,-60.438,419.193
QUANTUM CORP,DE,QMCO,2016,3572,229.546,264.516,-74.683,475.958,9.2,211.231,162.3875,-126.939,356.485
QUANTUM CORP,DE,QMCO,2017,3572,225.027,286.313,3.645,505.345,9.7,197.469,237.0785,-115.999,341.026
RCM TECHNOLOGIES INC,NV,RCMT,2008,7363,78.841,155.302,-39.805,209.277,1.11,46.568,14.1791,55.351,23.49
RCM TECHNOLOGIES INC,NV,RCMT,2009,7363,78.209,142.558,6.922,189.393,0.864,43.885,32.5308,63.303,14.906
RCM TECHNOLOGIES INC,NV,RCMT,2010,7363,83.012,115.835,5.795,162.022,0.632,35.825,60.9817,69.608,13.404
RCM TECHNOLOGIES INC,NV,RCMT,2011,7363,86.178,103.075,4.278,143.811,0.596,32.578,66.0087,71.661,14.517
RCM TECHNOLOGIES INC,NV,RCMT,2012,7363,84.548,106.102,3.227,145.817,0.497,33.166,63.3399,58.772,25.776
RCM TECHNOLOGIES INC,NV,RCMT,2013,7363,86.524,126.417,1.99,170.778,0.49,35.514,86.6846,61.378,25.146
RCM TECHNOLOGIES INC,NV,RCMT,2014,7363,87.273,142.077,6.814,193.77,0.68,39.868,88.704,42.865,44.408
RCM TECHNOLOGIES INC,NV,RCMT,2015,7363,81.336,133.851,6.015,185.736,0.635,42.567,68.7335,32.203,49.133
RCM TECHNOLOGIES INC,NV,RCMT,2016,7363,69.831,129.418,1.758,176.448,0.643,40.063,76.0211,31.255,38.576
RCM TECHNOLOGIES INC,NV,RCMT,2017,7363,73.279,138.35,2.01,186.737,0.7,40.791,76.2125,22.031,51.248
RPC INC,DE,RES,2008,1389,793.461,503.631,83.403,876.977,1.957,117.14,953.6008,449.084,344.377
RPC INC,DE,RES,2009,1389,649.043,393.806,-22.745,587.863,1.065,97.672,1022.996,409.723,239.32
RPC INC,DE,RES,2010,1389,887.871,606.098,146.742,1096.384,1.782,121.839,2684.9491,538.895,348.976
RPC INC,DE,RES,2011,1389,1338.211,992.704,296.381,1809.807,2.406,151.286,2691.1085,762.592,575.619
RPC INC,DE,RES,2012,1389,1367.163,1105.886,274.436,1945.023,2.965,175.749,2694.5626,899.232,467.931
RPC INC,DE,RES,2013,1389,1383.86,1176.14,166.895,1861.489,3.458,185.165,3908.9001,968.702,415.158
RPC INC,DE,RES,2014,1389,1759.358,1490.495,245.193,2337.413,3.959,198.076,2823.6686,1078.382,680.976
RPC INC,DE,RES,2015,1389,1237.094,982.721,-99.561,1263.84,2.058,156.579,2593.0425,952.281,284.813
RPC INC,DE,RES,2016,1389,1035.452,604.546,-141.246,728.974,1.296,150.69,4308.4571,806.799,228.653
RPC INC,DE,RES,2017,1389,1147.224,1047.446,162.511,1595.227,1.696,159.194,5528.3683,911.697,235.527
RPM INTERNATIONAL INC,DE,RPM,2008,2890,3763.567,2062.416,47.709,3643.791,39.9,1125.519,2997.2962,1136.556,2627.011
RPM INTERNATIONAL INC,DE,RPM,2009,2890,3409.921,1930.199,119.616,3368.167,36.2,1097.305,1968.6353,1143.671,2266.25
RPM INTERNATIONAL INC,DE,RPM,2010,2890,3004.024,1893.318,180.037,3412.716,39.4,1105.882,2573.6756,1079.473,1842.783
RPM INTERNATIONAL INC,DE,RPM,2011,2890,3515.029,1908.589,189.058,3381.841,33.3,1056.069,3068.63,1263.164,2127.661
RPM INTERNATIONAL INC,DE,RPM,2012,2890,3560.02,2161.814,215.936,3777.416,34.1,1156.714,3467.7898,1183.656,2246.037
RPM INTERNATIONAL INC,DE,RPM,2013,2890,4115.526,2286.113,98.603,4081.533,43.2,1294.604,4392.9055,1200.858,2760.593
RPM INTERNATIONAL INC,DE,RPM,2014,2890,4378.365,2413.842,291.66,4376.353,49.6,1390.371,5740.0681,1382.844,2799.771
RPM INTERNATIONAL INC,DE,RPM,2015,2890,4694.24,2558.093,239.484,4594.55,40.8,1438.109,6664.1461,1291.392,3400.775
RPM INTERNATIONAL INC,DE,RPM,2016,2890,4776.041,2619.369,354.725,4813.649,49.7,1535.477,6672.4594,1372.335,3401.293
RPM INTERNATIONAL INC,DE,RPM,2017,2890,5090.449,2678.217,181.823,4958.175,52.3,1628.42,7243.1215,1436.061,3651.749
INNSUITES HOSPITALITY TR,OH,IHT,2008,6798,31.334,13.378,1.119,22.101,0.86,4.732,9.273,7.403,23.169
INNSUITES HOSPITALITY TR,OH,IHT,2009,6798,30.437,12.473,-0.631,20.392,0.81,4.732,9.4668,6.384,23.927
INNSUITES HOSPITALITY TR,OH,IHT,2010,6798,28.474,11.002,-1.061,16.924,0.907,4.236,11.6168,4.535,24.509
INNSUITES HOSPITALITY TR,OH,IHT,2011,6798,27.935,10.884,-2.008,15.74,0.788,4.086,11.1111,3.957,24.654
INNSUITES HOSPITALITY TR,OH,IHT,2012,6798,27.382,11.047,-1.079,17.068,0.749,4.212,18.5724,2.964,24.237
INNSUITES HOSPITALITY TR,OH,IHT,2013,6798,26.282,9.285,-1.006,14.978,0.559,4.062,14.405,3.062,23.056
INNSUITES HOSPITALITY TR,OH,IHT,2014,6798,25.409,8.839,-1.022,14.885,0.624,4.251,12.6298,2.051,22.507
INNSUITES HOSPITALITY TR,OH,IHT,2015,6798,27.028,9.295,-2.104,14.672,0.588,4.767,22.1502,1.619,24.063
INNSUITES HOSPITALITY TR,OH,IHT,2016,6798,23.941,1.724,0.432,3.624,0.6,2.774,19.5182,6.484,16.97
INNSUITES HOSPITALITY TR,OH,IHT,2017,6798,22.173,7.218,-2.192,13.216,0.567,5.925,20.9189,4.431,18.548
REGIS CORP/MN,MN,RGS,2008,7200,2235.871,2096.96,85.204,2738.865,71.4,337.16,1134.9209,976.186,1259.685
REGIS CORP/MN,MN,RGS,2009,7200,1892.486,1866.005,-124.466,2429.787,56.9,291.661,763.9682,802.86,1089.626
REGIS CORP/MN,MN,RGS,2010,7200,1919.572,1817.839,42.74,2358.434,54.85,291.991,896.2248,1013.293,906.279
REGIS CORP/MN,MN,RGS,2011,7200,1805.753,1802.855,-8.905,2325.869,63.275,300.645,884.1325,1032.619,773.134
REGIS CORP/MN,MN,RGS,2012,7200,1571.846,1774.339,-114.093,2273.779,58.7,285.84,1031.1734,889.157,682.689
REGIS CORP/MN,MN,RGS,2013,7200,1390.492,1675.335,29.194,2018.713,39.2,218.422,929.881,857.414,533.078
REGIS CORP/MN,MN,RGS,2014,7200,1415.949,1618.108,-135.727,1892.437,40.6,173.793,797.6461,720.781,695.168
REGIS CORP/MN,MN,RGS,2015,7200,1162.015,1564.842,-33.842,1837.287,38.7,187.051,845.7446,627.444,534.571
REGIS CORP/MN,MN,RGS,2016,7200,1036.761,1527.752,-11.316,1790.869,35.5,178.452,574.6173,519.401,517.36
REGIS CORP/MN,MN,RGS,2017,7200,1011.488,1452.263,-16.14,1691.888,35.5,164.439,476.528,508.221,503.267
AUTONATION INC,DE,AN,2008,5500,6014.1,11752.4,-1243.1,14131.9,167,1813.8,1747.3076,2198.1,3816
AUTONATION INC,DE,AN,2009,5500,5407.3,8829,198,10757.8,118.4,1464.4,3288.6487,2303.2,3104.1
AUTONATION INC,DE,AN,2010,5500,5974.2,10333.5,226.6,12461,126.2,1552.1,4183.8648,2078.9,3895.3
AUTONATION INC,DE,AN,2011,5500,6198.8,11528.3,281.4,13832.3,130.2,1644.5,5006.393,1894.6,4304.2
AUTONATION INC,DE,AN,2012,5500,7203,13182.4,316.4,15668.8,135.7,1749.5,4797.9832,1688.5,5514.5
AUTONATION INC,DE,AN,2013,5500,7914.1,14757.7,374.9,17517.6,166.4,1917,6008.2664,2061.7,5852.4
AUTONATION INC,DE,AN,2014,5500,8399.7,16120.1,418.7,19108.8,164.9,2079.6,6845.2383,2072.1,6327.6
AUTONATION INC,DE,AN,2015,5500,9558.3,17600.5,442.6,20862,188.5,2263.5,6610.5666,2349.3,7209
AUTONATION INC,DE,AN,2016,5500,10060,18295.8,430.5,21609,196.7,2341.9,4896.7198,2310.3,7749.7
AUTONATION INC,DE,AN,2017,5500,10271.5,18175.6,434.6,21534.6,192.8,2433.2,4699.7748,2369.3,7902.2
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2008,3669,28.214,5.585,2.265,11.444,0.357,2.876,31.0565,27.409,0.706
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2009,3669,26.843,4.473,0.516,8.822,0.32,2.691,17.6847,26,0.744
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2010,3669,28.198,4.157,1.542,7.821,0.334,2.403,22.3873,27.369,0.73
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2011,3669,29.588,4.514,2.026,8.858,0.257,2.426,32.4274,28.572,0.917
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2012,3669,31.387,4.6,2.648,10.285,0.221,2.488,29.4511,30.016,1.272
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2013,3669,32.456,4.915,2.721,10.51,0.243,2.723,36.511,30.648,1.709
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2014,3669,35.083,4.746,3.122,11.025,0.217,2.609,37.725,32.7,2.284
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2015,3669,36.856,5.317,3.152,11.903,0.257,2.883,41.7158,34.27,2.487
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2016,3669,36.668,4.795,3.086,11.24,0.289,2.901,35.4553,34.685,1.884
RISK(GEORGE) INDUSTRIES INC,CO,RSKIA,2017,3669,38.464,5.037,2.401,10.904,0.33,2.897,41.9831,35.666,2.699
RITE AID CORP,DE,RAD,2008,5912,11488.023,17216.801,-1078.99,24326.846,375.025,6267.258,2216.658,1320.315,9776.838
RITE AID CORP,DE,RAD,2009,5912,8326.54,18667.408,-2915.42,26289.268,375.79,7036.143,248.1116,-1343.151,9526.192
RITE AID CORP,DE,RAD,2010,5912,8049.911,18310.789,-506.676,25669.117,375.118,6729.842,1349.2067,-1825.856,9723.462
RITE AID CORP,DE,RAD,2011,5912,7555.85,18016.857,-555.424,25214.907,367.412,6553.605,1166.2891,-2373.018,9767.217
RITE AID CORP,DE,RAD,2012,5912,7364.291,18887.305,-368.571,26121.222,369.405,6579.466,1383.978,-2758.326,9951.047
RITE AID CORP,DE,RAD,2013,5912,7078.719,17659.876,118.105,25392.263,335.779,6552.618,1482.9995,-2641.532,9538.153
RITE AID CORP,DE,RAD,2014,5912,6944.871,17822.438,249.414,25526.413,322.843,6571.95,6401.0713,-2113.702,9058.573
RITE AID CORP,DE,RAD,2015,5912,8863.252,18535.017,2109.173,26528.377,318.157,6737.587,7888.6928,57.056,8806.196
RITE AID CORP,DE,RAD,2016,5912,11277.01,22401.19,165.465,30736.657,307.817,7024.567,8329.6443,581.428,10695.582
RITE AID CORP,DE,RAD,2017,5912,11593.752,24502.777,4.053,32845.073,289.871,7297.653,6322.14,614.07,10979.682
ROGERS CORP,MA,ROG,2008,3672,475.433,233.002,26.515,365.362,1.6,96.1,434.7116,336.144,139.289
ROGERS CORP,MA,ROG,2009,3672,407.478,193.775,-62.87,291.821,1.4,82.744,477.1703,292.95,114.528
ROGERS CORP,MA,ROG,2010,3672,484.874,226.376,34.571,379.188,1.4,108.543,605.9183,330.532,154.342
ROGERS CORP,MA,ROG,2011,3672,677.628,345.962,37.055,553.15,3,121.836,597.9061,338.256,339.372
ROGERS CORP,MA,ROG,2012,3672,760.024,311.038,68.685,498.761,2,116.977,839.4526,434.152,325.872
ROGERS CORP,MA,ROG,2013,3672,806.534,322.163,37.761,537.482,2.9,126.744,1098.0825,555.527,251.007
ROGERS CORP,MA,ROG,2014,3672,835.117,350.704,52.883,610.911,3.3,145.822,1498.8218,581.963,253.154
ROGERS CORP,MA,ROG,2015,3672,932.458,370.427,46.32,641.443,3.2,148.007,926.0425,584.582,347.876
ROGERS CORP,MA,ROG,2016,3672,1056.5,368.082,48.283,656.314,3,160.499,1384.193,635.786,420.714
ROGERS CORP,MA,ROG,2017,3672,1125.134,456.769,80.459,821.043,4.4,186.358,2955.8496,766.573,358.561
ROSS STORES INC,DE,ROST,2008,5651,2371.322,4497.521,261.051,5975.212,50.2,935.901,3908.8984,970.649,1400.673
ROSS STORES INC,DE,ROST,2009,5651,2355.511,4814.774,305.441,6486.139,53.9,1034.357,3746.5193,996.369,1359.142
ROSS STORES INC,DE,ROST,2010,5651,2768.633,5168.235,442.757,7184.213,53.5,1130.813,5646.129,1157.293,1611.34
ROSS STORES INC,DE,ROST,2011,5651,3116.204,5569.042,554.797,7866.1,54.3,1229.775,7697.7076,1332.692,1783.512
ROSS STORES INC,DE,ROST,2012,5651,3301.209,6080.868,657.17,8608.291,59.9,1304.065,11529.2285,1493.012,1808.197
ROSS STORES INC,DE,ROST,2013,5651,3670.561,6825.937,786.763,9721.065,67.7,1437.886,13177.0437,1766.863,1903.698
ROSS STORES INC,DE,ROST,2014,5651,3896.797,7154.813,837.304,10230.353,70.2,1526.366,14493.3522,2007.302,1889.495
ROSS STORES INC,DE,ROST,2015,5651,4703.134,7704.997,924.724,11041.677,72.1,1615.371,19027.0737,2279.21,2423.924
ROSS STORES INC,DE,ROST,2016,5651,4869.119,8302.045,1020.661,11939.999,77.1,1738.755,22635.5921,2471.991,2397.128
ROSS STORES INC,DE,ROST,2017,5651,5309.351,8871.19,1117.654,12866.757,73,1890.408,25908.0462,2748.017,2561.334
SCHOLASTIC CORP,DE,SCHL,2008,2731,1761.6,1053.7,-17.2,2205.6,163.1,880.6,1184.9411,873.1,888.5
SCHOLASTIC CORP,DE,SCHL,2009,2731,1608.8,868.8,-14.3,1849.3,137.6,804.5,713.3616,785,823.8
SCHOLASTIC CORP,DE,SCHL,2010,2731,1600.4,859.8,56.1,1912.9,134.2,805.4,948.0421,830.4,770
SCHOLASTIC CORP,DE,SCHL,2011,2731,1487,883.2,39.4,1906.1,163.4,841.4,843.7045,740,747
SCHOLASTIC CORP,DE,SCHL,2012,2731,1670.3,989.2,102.4,2148.8,147.9,881.3,847.6314,830.3,840
SCHOLASTIC CORP,DE,SCHL,2013,2731,1441,829.6,31.1,1792.4,146.4,811,960.4526,864.4,576.6
SCHOLASTIC CORP,DE,SCHL,2014,2731,1528.5,843.6,44.4,1822.3,133.1,809.8,1028.5126,915.4,613.1
SCHOLASTIC CORP,DE,SCHL,2015,2731,1822.3,756.6,294.6,1635.8,129.7,756.7,1472.7619,1204.9,617.4
SCHOLASTIC CORP,DE,SCHL,2016,2731,1713.1,762.3,40.5,1672.8,127.3,779.3,1339.9617,1257.6,455.5
SCHOLASTIC CORP,DE,SCHL,2017,2731,1760.4,814,52.3,1741.6,121,783.1,1490.2512,1307.9,452.5
SCIENTIFIC INDUSTRIES INC,DE,SCND,2008,3821,4.777,4.053,0.392,6.669,0.021,1.922,4.1926,3.713,1.064
SCIENTIFIC INDUSTRIES INC,DE,SCND,2009,3821,4.831,3.589,0.32,5.989,0.029,1.798,2.682,3.91,0.921
SCIENTIFIC INDUSTRIES INC,DE,SCND,2010,3821,5.165,4.132,0.54,7.07,0.021,1.996,4.0459,4.451,0.714
SCIENTIFIC INDUSTRIES INC,DE,SCND,2011,3821,5.013,3.273,0.228,5.87,0.026,2.138,3.7825,4.601,0.412
SCIENTIFIC INDUSTRIES INC,DE,SCND,2012,3821,5.772,3.659,0.066,6.203,0.027,2.242,2.6854,5.033,0.739
SCIENTIFIC INDUSTRIES INC,DE,SCND,2013,3821,6.153,3.996,0.396,7.135,0.03,2.452,4.0779,5.397,0.756
SCIENTIFIC INDUSTRIES INC,DE,SCND,2014,3821,7.112,3.916,-0.075,6.793,0.053,2.733,5.1415,5.679,1.433
SCIENTIFIC INDUSTRIES INC,DE,SCND,2015,3821,7.141,4.292,0.009,7.849,0.079,3.138,4.1096,5.75,1.391
SCIENTIFIC INDUSTRIES INC,DE,SCND,2016,3821,7.549,5.252,0.166,9.598,0.08,3.459,4.333,5.932,1.617
SCIENTIFIC INDUSTRIES INC,DE,SCND,2017,3821,6.828,4.914,-0.073,8.149,0.111,2.992,4.7808,5.828,1
SCOTT'S LIQUID GOLD,CO,SLGD,2008,2844,16.493,8.492,-1.497,15.912,0.345,8.049,1.6149,9.454,7.039
SCOTT'S LIQUID GOLD,CO,SLGD,2009,2844,14.764,7.687,-1.198,14.179,0.369,6.878,2.159,8.351,6.413
SCOTT'S LIQUID GOLD,CO,SLGD,2010,2844,14.357,7.265,-0.495,14.397,0.405,6.998,2.2016,7.975,6.382
SCOTT'S LIQUID GOLD,CO,SLGD,2011,2844,13.877,8.077,-0.634,15.616,0.773,7.618,1.8553,7.416,6.461
SCOTT'S LIQUID GOLD,CO,SLGD,2012,2844,12.796,8.654,-1.372,16.041,0.32,7.418,2.9749,6.103,6.693
SCOTT'S LIQUID GOLD,CO,SLGD,2013,2844,8.358,10.335,0.644,19.292,0.658,8.038,7.3146,6.911,1.447
SCOTT'S LIQUID GOLD,CO,SLGD,2014,2844,10.429,13.518,2.093,24.344,0.813,8.538,10.857,9.113,1.316
SCOTT'S LIQUID GOLD,CO,SLGD,2015,2844,16.143,16.648,4.78,29.188,1.533,10.102,16.5125,14.096,2.047
SCOTT'S LIQUID GOLD,CO,SLGD,2016,2844,21.833,19.591,1.855,35.228,1.567,11.255,16.92,16.242,5.591
SCOTT'S LIQUID GOLD,CO,SLGD,2017,2844,25.301,22.044,4.662,42.186,0.884,11.741,34.4694,21.181,4.12
SEMTECH CORP,DE,SMTC,2008,3674,396.046,119.389,47.783,284.79,0.83,111.1,781.4091,348.71,47.336
SEMTECH CORP,DE,SMTC,2009,3674,420.795,128,37.521,294.82,1,113.436,708.3723,378.02,42.775
SEMTECH CORP,DE,SMTC,2010,3674,514.294,124.505,0.957,286.56,0.249,120.735,917.6898,405.741,108.553
SEMTECH CORP,DE,SMTC,2011,3674,659.943,179.268,72.572,454.502,0.232,170.028,1395.8679,528.615,131.328
SEMTECH CORP,DE,SMTC,2012,3674,726.321,185.056,89.087,480.601,0.285,175.441,1850.2032,630.188,96.133
SEMTECH CORP,DE,SMTC,2013,3674,1171.013,205.662,41.939,578.827,0.119,244.969,2008.8671,694.826,476.187
